shauraseni;Shauraseni;Shauraseni;Shauraseni;Shauraseni;Shauraseni;Shauraseni;Shauraseni;Shauraseni;Shauraseni;Shauraseni;Shauraseni;Shauraseni;Shauraseni;x
hindavi;Hindavi;Hindavi;Hindavi;Hindavi;Hindavi;Hindavi;Hindavi;Hindavi;Hindavi;Hindavi;Hindavi;Hindavi;Hindavi;x
punjabi;Punjabi;Punjabi;Punjabi;Punjabi;Punjabi;Punjabi;Punjabi;Punjabi;Punjabi;Punjabi;Punjabi;Punjabi;Punjabi;x
gujarati;Gujarati;Gujarati;Gujarati;Gujarati;Gujarati;Gujarati;Gujarati;Gujarati;Gujarati;Gujarati;Gujarati;Gujarati;Gujarati;x
sindhi;Sindhi;Sindhi;Sindhi;Sindhi;Sindhi;Sindhi;Sindhi;Sindhi;Sindhi;Sindhi;Sindhi;Sindhi;Sindhi;x
urdu;Urdu;Urdu;Urdu;Urdu;Urdu;Urdu;Urdu;Urdu;Urdu;Urdu;Urdu;Urdu;Urdu;x
abahatta;Abahatta;Abahatta;Abahatta;Abahatta;Abahatta;Abahatta;Abahatta;Abahatta;Abahatta;Abahatta;Abahatta;Abahatta;Abahatta;x
bengali;Bengali;Bengali;Bengali;Bengali;Bengali;Bengali;Bengali;Bengali;Bengali;Bengali;Bengali;Bengali;Bengali;x
oriya;Oriya;Oriya;Oriya;Oriya;Oriya;Oriya;Oriya;Oriya;Oriya;Oriya;Oriya;Oriya;Oriya;x
maithili;Maithili;Maithili;Maithili;Maithili;Maithili;Maithili;Maithili;Maithili;Maithili;Maithili;Maithili;Maithili;Maithili;x
bhojpuri;Bhojpuri;Bhojpuri;Bhojpuri;Bhojpuri;Bhojpuri;Bhojpuri;Bhojpuri;Bhojpuri;Bhojpuri;Bhojpuri;Bhojpuri;Bhojpuri;Bhojpuri;x
magahi;Magahi;Magahi;Magahi;Magahi;Magahi;Magahi;Magahi;Magahi;Magahi;Magahi;Magahi;Magahi;Magahi;x
kamarupi;Kamarupi;Kamarupi;Kamarupi;Kamarupi;Kamarupi;Kamarupi;Kamarupi;Kamarupi;Kamarupi;Kamarupi;Kamarupi;Kamarupi;Kamarupi;x
maharastri;Maharastri;Maharastri;Maharastri;Maharastri;Maharastri;Maharastri;Maharastri;Maharastri;Maharastri;Maharastri;Maharastri;Maharastri;Maharastri;x
marathi;Marathi;Marathi;Marathi;Marathi;Marathi;Marathi;Marathi;Marathi;Marathi;Marathi;Marathi;Marathi;Marathi;x
konkani;Konkani;Konkani;Konkani;Konkani;Konkani;Konkani;Konkani;Konkani;Konkani;Konkani;Konkani;Konkani;Konkani;x
elu;Elu;Elu;Elu;Elu;Elu;Elu;Elu;Elu;Elu;Elu;Elu;Elu;Elu;x
pahari;Pahari;Pahari;Pahari;Pahari;Pahari;Pahari;Pahari;Pahari;Pahari;Pahari;Pahari;Pahari;Pahari;x
dogri;Dogri;Dogri;Dogri;Dogri;Dogri;Dogri;Dogri;Dogri;Dogri;Dogri;Dogri;Dogri;Dogri;x
kashmiri;Kashmiri;Kashmiri;Kashmiri;Kashmiri;Kashmiri;Kashmiri;Kashmiri;Kashmiri;Kashmiri;Kashmiri;Kashmiri;Kashmiri;Kashmiri;x
garhwali;Garhwali;Garhwali;Garhwali;Garhwali;Garhwali;Garhwali;Garhwali;Garhwali;Garhwali;Garhwali;Garhwali;Garhwali;Garhwali;x
khaskura;Khaskura;Khaskura;Khaskura;Khaskura;Khaskura;Khaskura;Khaskura;Khaskura;Khaskura;Khaskura;Khaskura;Khaskura;Khaskura;x
kandamil;Kandamil;Kandamil;Kandamil;Kandamil;Kandamil;Kandamil;Kandamil;Kandamil;Kandamil;Kandamil;Kandamil;Kandamil;Kandamil;x
tamil;Tamil;Tamil;Tamil;Tamil;Tamil;Tamil;Tamil;Tamil;Tamil;Tamil;Tamil;Tamil;Tamil;x
kannada;Kannada;Kannada;Kannada;Kannada;Kannada;Kannada;Kannada;Kannada;Kannada;Kannada;Kannada;Kannada;Kannada;x
tulu;Tulu;Tulu;Tulu;Tulu;Tulu;Tulu;Tulu;Tulu;Tulu;Tulu;Tulu;Tulu;Tulu;x
assaka;Assaka;Assaka;Assaka;Assaka;Assaka;Assaka;Assaka;Assaka;Assaka;Assaka;Assaka;Assaka;Assaka;x
telugu;Telugu;Telugu;Telugu;Telugu;Telugu;Telugu;Telugu;Telugu;Telugu;Telugu;Telugu;Telugu;Telugu;x
emperor_hindavi;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;x
emperor_female_hindavi;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;x
emperor_title_ruler_consort_hindavi;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;Maharajadhiraja;x
emperor_title_ruler_consort_female_hindavi;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;Maharanadhiraja;x
emperor_title_queen_mother_female_hindavi;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;x
empire_of_hindavi;Rajya of;Rajya of;Rajya of;Rajya of;Rajya of;Rajya of;Rajya of;Rajya of;Rajya of;Rajya of;Rajya of;Rajya of;Rajya of;x
empire_hindavi;Rajya;Rajya;Rajya;Rajya;Rajya;Rajya;Rajya;Rajya;Rajya;Rajya;Rajya;Rajya;Rajya;x
city_emperor_hindavi;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;x
city_emperor_female_hindavi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;x
city_emperor_title_ruler_consort_hindavi;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;Parthiva;x
city_emperor_title_ruler_consort_female_hindavi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;Parthivi;x
city_emperor_title_queen_mother_female_hindavi;Parthivamata;Parthivamata;Parthivamata;Parthivamata;Parthivamata;Parthivamata;Parthivamata;Parthivamata;Parthivamata;Parthivamata;Parthivamata;Parthivamata;Parthivamata;x
city_empire_of_hindavi;Desha of;Desha of;Desha of;Desha of;Desha of;Desha of;Desha of;Desha of;Desha of;Desha of;Desha of;Desha of;Desha of;x
city_empire_hindavi;Desha;Desha;Desha;Desha;Desha;Desha;Desha;Desha;Desha;Desha;Desha;Desha;Desha;x
king_hindavi;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;x
king_female_hindavi;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;x
title_ruler_consort_hindavi;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;Maharaja;x
title_ruler_consort_female_hindavi;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;Maharani;x
title_queen_mother_hindavi;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;Maharajamata;x
kingdom_of_hindavi;Rashtra of;Rashtra of;Rashtra of;Rashtra of;Rashtra of;Rashtra of;Rashtra of;Rashtra of;Rashtra of;Rashtra of;Rashtra of;Rashtra of;Rashtra of;x
kingdom_hindavi;Rashtra;Rashtra;Rashtra;Rashtra;Rashtra;Rashtra;Rashtra;Rashtra;Rashtra;Rashtra;Rashtra;Rashtra;Rashtra;x
city_king_hindavi;Uparika;Uparika;Uparika;Uparika;Uparika;Uparika;Uparika;Uparika;Uparika;Uparika;Uparika;Uparika;Uparika;x
city_king_female_hindavi;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;x
city_title_ruler_consort_hindavi;Uparika;Uparika;Uparika;Uparika;Uparika;Uparika;Uparika;Uparika;Uparika;Uparika;Uparika;Uparika;Uparika;x
city_title_ruler_consort_female_hindavi;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;Uparikini;x
city_title_queen_mother_hindavi;Uparikamata;Uparikamata;Uparikamata;Uparikamata;Uparikamata;Uparikamata;Uparikamata;Uparikamata;Uparikamata;Uparikamata;Uparikamata;Uparikamata;Uparikamata;x
city_kingdom_of_hindavi;Bhukti of;Bhukti of;Bhukti of;Bhukti of;Bhukti of;Bhukti of;Bhukti of;Bhukti of;Bhukti of;Bhukti of;Bhukti of;Bhukti of;Bhukti of;x
city_kingdom_hindavi;Bhukti;Bhukti;Bhukti;Bhukti;Bhukti;Bhukti;Bhukti;Bhukti;Bhukti;Bhukti;Bhukti;Bhukti;Bhukti;x
duke_hindavi;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;x
duke_female_hindavi;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;x
duke_title_ruler_consort_hindavi;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;Raja;x
duke_title_ruler_consort_female_hindavi;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;Rani;x
duchy_of_hindavi;Kshetra of;Kshetra of;Kshetra of;Kshetra of;Kshetra of;Kshetra of;Kshetra of;Kshetra of;Kshetra of;Kshetra of;Kshetra of;Kshetra of;Kshetra of;x
duchy_hindavi;Kshetra;Kshetra;Kshetra;Kshetra;Kshetra;Kshetra;Kshetra;Kshetra;Kshetra;Kshetra;Kshetra;Kshetra;Kshetra;x
city_duke_hindavi;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;x
city_duke_female_hindavi;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;x
city_duke_title_ruler_consort_hindavi;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;Vishayapati;x
city_duke_title_ruler_consort_female_hindavi;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;Vishayapatni;x
city_duchy_of_hindavi;Vishaya of;Vishaya of;Vishaya of;Vishaya of;Vishaya of;Vishaya of;Vishaya of;Vishaya of;Vishaya of;Vishaya of;Vishaya of;Vishaya of;Vishaya of;x
city_duchy_hindavi;Vishaya;Vishaya;Vishaya;Vishaya;Vishaya;Vishaya;Vishaya;Vishaya;Vishaya;Vishaya;Vishaya;Vishaya;Vishaya;x
count_hindavi;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;x
count_female_hindavi;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;x
count_title_ruler_consort_hindavi;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;Thakur;x
count_title_ruler_consort_female_hindavi;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;Thakurani;x
county_of_hindavi;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;Thikana of;x
county_hindavi;Thikana;Thikana;Thikana;Thikana;Thikana;Thikana;Thikana;Thikana;Thikana;Thikana;Thikana;Thikana;Thikana;x
city_count_hindavi;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;x
city_count_female_hindavi;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;x
city_count_title_ruler_consort_hindavi;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;Ayuktaka;x
city_count_title_ruler_consort_female_hindavi;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;Ayuktakini;x
